"Original","Archived","Reason"
"app\__pycache__","D:\Project Files\urban_company_fintech_mba\archive\2026_05_24_074310\cache\app__pycache__","Python bytecode cache; regenerated automatically."
"app\pages\__pycache__","D:\Project Files\urban_company_fintech_mba\archive\2026_05_24_074310\cache\app_pages__pycache__","Python bytecode cache; regenerated automatically."
"app\utils\__pycache__","D:\Project Files\urban_company_fintech_mba\archive\2026_05_24_074310\cache\app_utils__pycache__","Python bytecode cache; regenerated automatically."
"app\pages\05_Admin_Legacy.py","D:\Project Files\urban_company_fintech_mba\archive\2026_05_24_074310\legacy_pages\05_Admin_Legacy.py","Legacy placeholder page superseded by app/pages/06_Admin.py."
"docs\project_cleanup_audit.md","D:\Project Files\urban_company_fintech_mba\archive\2026_05_24_074310\docs_old\project_cleanup_audit.md","Historical cleanup audit superseded by cleanup_report.md."
"docs\post_cleanup_validation.md","D:\Project Files\urban_company_fintech_mba\archive\2026_05_24_074310\docs_old\post_cleanup_validation.md","Historical post-cleanup validation superseded by cleanup_report.md."
"UC_Razorpay_Dashboard_v1.pbix","D:\Project Files\urban_company_fintech_mba\archive\2026_05_24_074310\powerbi_old\UC_Razorpay_Dashboard_v1.pbix","Older duplicate root Power BI file; dashboard copy and latest embedded-finance PBIX retained."
"app\__pycache__","D:\Project Files\urban_company_fintech_mba\archive\2026_05_24_074310\cache\regenerated_after_validation\app__pycache__","Python bytecode cache regenerated during validation."
"app\pages\__pycache__","D:\Project Files\urban_company_fintech_mba\archive\2026_05_24_074310\cache\regenerated_after_validation\app_pages__pycache__","Python bytecode cache regenerated during validation."
"app\utils\__pycache__","D:\Project Files\urban_company_fintech_mba\archive\2026_05_24_074310\cache\regenerated_after_validation\app_utils__pycache__","Python bytecode cache regenerated during validation."
