,count,mean,std,min,25%,50%,75%,max
primary_digital_adoption_prior,10000.0,0.6273,0.094,0.3333,0.6417,0.6417,0.6417,0.75
primary_cashflow_stress_prior,10000.0,0.6816,0.065,0.5,0.6917,0.6917,0.6917,0.75
primary_settlement_pain_prior,10000.0,0.9226,0.0654,0.75,0.9333,0.9333,0.9333,1.0
primary_faster_payout_prior,10000.0,0.9226,0.0654,0.75,0.9333,0.9333,0.9333,1.0
primary_credit_need_prior,10000.0,0.8667,0.1348,0.3333,0.8667,0.8667,0.9412,1.0
primary_credit_amount_prior,10000.0,0.399,0.1403,0.0,0.4202,0.4202,0.4202,0.5663
primary_growth_prior,10000.0,0.7351,0.0757,0.5,0.75,0.7583,0.7583,0.8529
primary_repeat_customer_prior,10000.0,0.6952,0.0797,0.5,0.7167,0.7167,0.7167,0.8235
primary_ai_usage_prior,10000.0,0.6362,0.2016,0.0,0.6,0.6,0.6667,1.0
primary_upi_frequency_prior,10000.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
settlement_credit_stress,10000.0,0.5133,0.1814,0.15,0.3319,0.5355,0.6488,0.95
digital_growth_index,10000.0,0.7486,0.0912,0.4181,0.6951,0.7587,0.8119,0.9453
credit_dependency_score,10000.0,0.4906,0.1135,0.1167,0.4294,0.4993,0.5544,0.8605
repayment_pressure_index,10000.0,0.1656,0.1597,0.0,0.0,0.1384,0.2567,0.8339
digital_finance_readiness,10000.0,0.8518,0.0785,0.5159,0.8358,0.8688,0.8951,0.9932
lockin_resilience_score,10000.0,0.698,0.1532,0.2593,0.7019,0.7535,0.7881,0.9054
agentic_productivity_signal,10000.0,0.51,0.1726,0.1667,0.3991,0.443,0.5966,0.9188
cash_to_digital_transition_score,10000.0,0.6606,0.0334,0.5492,0.6584,0.6656,0.6717,0.7125
credit_offer_mismatch,10000.0,0.6356,0.4012,0.0,0.0,0.8667,0.8667,1.0
payout_pain_gap,10000.0,0.4254,0.3335,0.0,0.1205,0.3622,0.7588,1.0
