model,target,metric,value
churn_prediction,churn_target_tplus1,accuracy,0.9776666666666668
churn_prediction,churn_target_tplus1,precision,1.0
churn_prediction,churn_target_tplus1,recall,0.926655719759168
churn_prediction,churn_target_tplus1,f1,0.9619318181818182
churn_prediction,churn_target_tplus1,roc_auc,0.96719088791277
churn_prediction,churn_target_tplus1,threshold,0.7000000000000001
churn_prediction,churn_target_tplus1,positive_rate,0.3045
churn_prediction,churn_target_tplus1,tp,1693.0
churn_prediction,churn_target_tplus1,tn,4173.0
churn_prediction,churn_target_tplus1,fp,0.0
churn_prediction,churn_target_tplus1,fn,134.0
loan_default_prediction,default_next_cycle,accuracy,0.784
loan_default_prediction,default_next_cycle,precision,0.0092951200619674
loan_default_prediction,default_next_cycle,recall,0.4137931034482758
loan_default_prediction,default_next_cycle,f1,0.0181818181818181
loan_default_prediction,default_next_cycle,roc_auc,0.7060505084921951
loan_default_prediction,default_next_cycle,threshold,0.66
loan_default_prediction,default_next_cycle,positive_rate,0.0048333333333333
loan_default_prediction,default_next_cycle,tp,12.0
loan_default_prediction,default_next_cycle,tn,4692.0
loan_default_prediction,default_next_cycle,fp,1279.0
loan_default_prediction,default_next_cycle,fn,17.0
income_growth_prediction,income_growth_tplus1,rmse,0.2094276093579454
income_growth_prediction,income_growth_tplus1,mae,0.13817439996175
income_growth_prediction,income_growth_tplus1,r2,0.8228995229892555
income_growth_prediction,income_growth_tplus1,directional_accuracy,0.6705
embedded_finance_adoption,embedded_finance_adoption_tplus1,accuracy,0.881
embedded_finance_adoption,embedded_finance_adoption_tplus1,precision,0.8924689440993789
embedded_finance_adoption,embedded_finance_adoption_tplus1,recall,0.8402777777777778
embedded_finance_adoption,embedded_finance_adoption_tplus1,f1,0.8655873493975903
embedded_finance_adoption,embedded_finance_adoption_tplus1,roc_auc,0.9633885923704277
embedded_finance_adoption,embedded_finance_adoption_tplus1,threshold,0.5999999999999999
embedded_finance_adoption,embedded_finance_adoption_tplus1,positive_rate,0.456
embedded_finance_adoption,embedded_finance_adoption_tplus1,tp,2299.0
embedded_finance_adoption,embedded_finance_adoption_tplus1,tn,2987.0
embedded_finance_adoption,embedded_finance_adoption_tplus1,fp,277.0
embedded_finance_adoption,embedded_finance_adoption_tplus1,fn,437.0
